Carrier,ShipmentOrigin,dist
359,18,1.235527638878141
316,46,1.2325582570795501
78,53,1.2296707481145859
545,109,1.2393511347472668
55,79,1.2160037321238113
395,97,1.2295899188944273
465,98,1.229907751083374
491,21,1.2454764087285315
73,10,1.2676471109901155
181,21,1.2365832637463297
57,21,1.2420040369033813
359,37,1.2847454526594706
334,3,1.2790583606277193
241,80,1.2765823400446348
329,20,1.2287334256938525
230,62,1.2157206354396684
112,89,1.280345103038209
34,76,1.2253850144999368
241,98,1.2252699605056219
334,75,1.2666662782430649
253,18,1.1997734962829523
253,51,1.2005667542772633
413,98,1.2097842597535677
40,76,1.247297031538827
497,46,1.1943807596606868
61,49,1.2157159490244729
465,96,1.2669195495545864
368,99,1.2165055642170566
436,35,1.2166399168116706
176,21,1.237409522490842
221,46,1.1873949255262102
239,48,1.2120158363665854
361,68,1.196996662939325
534,66,1.2752091389681612
358,55,1.1671308241784573
23,87,1.2631649279168673
411,98,1.227381725928613
145,38,1.2326502459389823
495,96,1.2160363548568316
214,92,1.2007572741380759
139,21,1.176015495987875
290,48,1.2299318699432271
262,62,1.170571398222819
137,62,1.1697817359651839
33,46,1.2155429444142751
182,76,1.2468214737517493
534,62,1.2068647183477879
586,98,1.2253171695130212
587,55,1.1849278967295374
465,109,1.2227672636508942
59,4,1.2618142616535937
376,109,1.215897187590599
515,21,1.1848619622843606
519,21,1.1824693871395928
171,21,1.239420541695186
303,99,1.1972563355895025
277,62,1.2085082679986954
456,64,1.2525057207260812
112,1,1.2756962488804544
168,108,1.3039409252149718
329,37,1.3059782162308693
182,4,1.27785931208304
321,48,1.227542801627091
574,60,1.2539855039545469
404,62,1.182869674904006
446,107,1.2870590026889528
182,35,1.2440550007990427
341,46,1.2043468398707253
150,18,1.2643778137862682
59,31,1.280137188732624
277,98,1.2119211554527283
241,24,1.3101351346288408
100,62,1.2217964540634836
334,12,1.2768612961683954
68,49,1.245764387505395
117,49,1.225667159472193
465,14,1.1969486347266607
213,87,1.163524228946439
394,21,1.2062547393143177
471,21,1.2251047998932856
207,21,1.2699772449476379
510,46,1.2521877251565456
100,98,1.2247986644506454
168,73,1.3140407694237572
168,110,1.2711628313575472
303,90,1.2903404336954867
320,93,1.239492192864418
398,38,1.2344622702470847
293,35,1.2193943526861923
277,92,1.2366556812609946
182,106,1.2260100319981575
582,77,1.251686204224825
110,43,1.205433071790529
48,48,1.1896052009293012
28,62,1.255407527089119
105,34,1.294949614575931
28,49,1.250852741567152
448,109,1.2079696961279427
154,98,1.233036216880594
590,78,1.2703296946627753
147,109,1.2343340049763876
230,68,1.2456287039177758
376,98,1.2314735416855132
162,98,1.2085389794036538
304,14,1.2251524840082442
424,21,1.202622324760471
367,21,1.2199296930006571
152,21,1.2026474624872208
447,53,1.1732648302401816
529,35,1.2244869662182671
473,1,1.2646222274218286
112,100,1.3028858176299505
359,62,1.2021495401859283
586,57,1.2814349324575491
586,46,1.206995871982404
307,46,1.2319755655314242
488,87,1.2148253292377507
132,78,1.2611576015395778
80,53,1.2189274249332291
377,46,1.1893105613333839
126,98,1.2096863346440452
206,53,1.248869254519897
495,49,1.1816431012536799
182,87,1.2717899179884367
77,21,1.253419652581215
